"Country","Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course","McMeal at McDonalds (or Equivalent Combo Meal)","Domestic Beer (0.5 liter draught)","Imported Beer (0.33 liter bottle Restaurant)","Coke/Pepsi (0.33 liter bottle)","Water (0.33 liter bottle) ","Milk (regular), (1 liter)","Loaf of Fresh White Bread (500g)","Eggs (regular) (12)","Local Cheese (1kg)","Water (1.5 liter bottle)","Bottle of Wine (Mid-Range)","Domestic Beer (0.5 liter bottle)","Imported Beer (0.33 liter bottle)","Cigarettes 20 Pack (Marlboro)","One-way Ticket (Local Transport)","Chicken Breasts (Boneless, Skinless), (1kg)","Monthly Pass (Regular Price)","Gasoline (1 liter)","Volkswagen Golf","Apartment (1 bedroom) in City Centre","Apartment (1 bedroom) Outside of Centre","Apartment (3 bedrooms) in City Centre","Apartment (3 bedrooms) Outside of Centre","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult","Tennis Court Rent (1 Hour on Weekend)","Cinema, International Release, 1 Seat","1 Pair of Jeans (Levis 501 Or Similar)","1 Summer Dress in a Chain Store (Zara, H&M, ...)","1 Pair of Nike Running Shoes (Mid-Range)","1 Pair of Men Leather Business Shoes","Price per Square Meter to Buy Apartment in City Centre","Price per Square Meter to Buy Apartment Outside of Centre","Average Monthly Net Salary (After Tax)","Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Taxi Start (Normal Tariff)","Taxi 1km (Normal Tariff)","Taxi 1hour Waiting (Normal Tariff)","Apples (1kg)","Oranges (1kg)","Potato (1kg)","Lettuce (1 head)","Cappuccino (regular)","Rice (white), (1kg)","Tomato (1kg)","Banana (1kg)","Onion (1kg)","Beef Round (1kg) (or Equivalent Back Leg Red Meat)","Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child"
"Albania",4.1,24.62,4.76,1.27,2,1.07,0.54,1.07,0.61,1.47,5.45,0.44,6.57,0.77,1.14,2.63,0.33,4.18,13.13,1.46,16413.03,296.37,175.58,578.83,326.01,68.27,0.21,19.18,29.49,10.28,4.92,40.27,31.76,71.81,85.26,1650.37,726.22,336.43,5.19,2.05,2,12.31,0.89,1.06,0.66,0.78,1.2,1.09,0.9,1.32,0.66,6.89,17174.1,127.15
"Armenia",4.7,22.54,4.6,1.13,1.69,0.6,0.34,0.82,0.43,1.44,4.29,0.44,5.64,0.75,1.23,1.13,0.19,4.17,11.27,0.83,16043.44,320.04,170.55,664.25,313.63,60.06,0.03,14.09,43.14,11.31,4.7,51.8,37.56,73.47,69.2,1383.05,714.57,295.66,11.59,1.13,0.19,2.25,0.9,1.07,0.44,0.37,1.95,1.08,0.71,1.2,0.5,5.96,19843.59,141.66
"Austria",10,45,7.25,4,4,2.77,2.05,1.03,1.75,2.55,10.41,0.54,6.99,0.97,1.54,5.5,2.4,8.95,48,1.24,22700,858.37,621.65,1584.2,1105.34,158.45,0.04,30.86,27.44,18.33,10,78.53,32.94,81.5,108.19,6403.78,4164.43,1900.43,2.1,4,1.42,27.8,1.99,2.08,1.29,1.19,3.19,1.26,2.33,1.67,1.34,14.3,22357.62,211.88
"Azerbaijan",5.27,23.73,4.22,0.84,2.11,0.37,0.21,0.83,0.26,1.03,3.54,0.43,4.75,0.76,1.94,2.11,0.16,2.92,9.63,0.49,15558.4,290.07,157.97,608.91,299.45,42.65,0.03,15.51,30.43,16.73,3.69,43.59,40.16,93.36,76.12,1307.4,647.53,294.03,8.21,0.84,0.32,1.58,0.69,1.26,0.46,0.42,2.15,1.05,0.83,1.22,0.39,6.15,18564.59,208.84
"Belarus",8.93,27.95,4.49,1.8,2.7,0.66,0.49,0.68,0.56,1.11,5.44,0.58,7.19,0.85,1.77,1.37,0.27,3.34,13.48,0.71,13477.27,376.92,244.9,593.05,386.38,48.29,0.04,12.84,31.85,15.41,4.04,57.87,34.32,86.17,83.35,1526.65,1067.94,433.37,14.63,1.68,0.25,2.59,0.95,1.5,0.42,0.93,1.64,1.02,1.76,1.13,0.48,6.11,17670.15,402.08
"Belgium",15,60,8.2,4,4,2.47,2.07,0.97,1.64,2.65,13.14,0.94,7,1.24,1.87,6.7,2.1,9.07,49,1.44,20200,838.2,686.19,1432.14,1116.71,122.98,0.23,43.43,26.11,16.94,11,72.59,33.81,78.65,116.11,3232.14,2538.1,2289.69,1.68,3,1.95,30,2.17,2.24,1.5,1.29,3.17,2.19,2.07,1.63,1.3,13.56,21788.33,695.44
"Bosnia And Herzegovina",3.575,21.705,3.83,1.405,1.66,1.27,0.71,0.695,0.575,1.48,5.17,0.495,4.465,0.56,0.93,2.81,0.92,3.91,24.77,1.18,17364.15,237.105,165.17,454.195,283.26,140.785,0.11,22.055,23.6,9.98,3.06,58.65,28.015,72.465,80.265,1509.375,1001.335,458.405,4.53,0.995,0.69,6.385,0.9,1.2,0.56,0.53,1.065,1.05,1.035,1.095,0.635,7.545,17105.55,146.685
"Bulgaria",5.78666666666667,22.1366666666667,4.42333333333333,1.27666666666667,1.67666666666667,0.886666666666667,0.59,1.03,0.543333333333333,1.58666666666667,5.31,0.503333333333333,4.76333333333333,0.64,1.1,2.82666666666667,0.613333333333333,4.74666666666667,22.1366666666667,1.14333333333333,18585.5366666667,282.283333333333,211.94,505.803333333333,358.333333333333,81.6633333333333,0.14,11.05,23.7933333333333,10.8966666666667,5.95666666666667,45.9333333333333,25.8166666666667,65.0033333333333,66.8833333333333,1175.95333333333,808.623333333333,578.293333333333,3.96666666666667,0.49,0.43,6.84333333333333,0.97,1.15666666666667,0.56,0.56,1.25,1.07,1.33333333333333,1.32333333333333,0.59,6.92,17709.4833333333,271.613333333333
"Croatia",6.72,33.58,5.37,2.01,2.42,1.91,1.32,0.87,0.86,2.04,7.62,0.92,5.37,1.02,1.6,4.03,0.54,6.79,48.36,1.35,19477.3,473.12,341.08,777.81,542.49,174.07,0.11,22.12,34.96,9.19,5.37,73.88,30.63,78.16,92.24,2701.8,1892.37,903.99,3.9,1.34,0.67,5.37,1.06,1.34,0.79,0.77,1.51,1.69,1.54,1.43,0.8,8.77,19816.57,144.52
"Czech Republic",5.95,27.47,5.355,1.49,1.785,1.215,0.905,0.74,0.935,1.675,7.7,0.53,4.96,0.635,1.15,4.11,0.97,5.95,21.82,1.29,17832.005,682.27,516.735,1121.795,812.02,161.215,0.13,18.765,32.325,10.775,7.775,65.25,32.045,71.945,84.8,3856.185,2756.72,1102.94,2.725,1.985,1.15,12.495,1.22,1.375,0.835,0.91,2.025,1.42,1.9,1.21,0.785,9.55,18517.385,406.65
